url_length,num_dots,has_https,has_ip,keyword_count,num_hyphens,num_slashes,has_at_symbol,path_length,subdomain_depth,label
28,1,1,0,0,0,1,0,9,0,0
28,1,1,0,0,1,0,0,7,1,0
41,1,1,0,0,2,1,0,15,0,0
37,3,1,0,0,0,2,0,16,0,0
39,1,1,0,0,0,1,0,17,0,0
98,4,0,0,1,4,6,0,41,2,1
51,2,1,0,0,0,1,0,6,1,0
60,1,1,0,0,0,1,0,11,0,0
32,3,1,0,1,0,3,0,28,0,0
81,4,0,0,3,1,8,0,28,2,1
50,4,0,0,1,3,4,0,61,1,1
43,2,0,0,1,0,1,0,3,0,0
26,2,1,0,0,0,2,0,5,0,0
40,1,1,0,0,0,2,0,14,0,0
116,6,0,0,2,2,5,0,64,1,1
42,1,1,0,0,1,1,0,25,0,0
43,2,1,0,1,0,2,0,12,1,0
97,4,1,0,0,1,2,0,56,3,1
70,2,1,0,0,0,3,0,7,0,0
62,6,1,0,1,3,1,0,39,2,1
104,4,0,0,1,4,10,0,62,4,1
27,3,1,0,1,0,3,0,28,0,0
70,3,1,0,2,1,5,0,45,4,1
55,4,0,0,1,1,6,0,15,3,1
28,1,1,0,0,0,6,0,4,0,0
23,2,1,0,0,0,2,0,17,0,0
35,1,1,0,0,0,0,0,14,1,0
105,3,0,0,0,1,5,0,19,1,1
25,1,1,0,0,0,1,0,13,0,0
84,4,0,0,2,3,4,0,28,3,1
71,2,1,0,0,2,0,0,26,0,0
43,3,1,0,0,0,1,0,14,0,0
57,1,1,0,0,1,4,0,5,1,0
101,6,1,0,2,1,4,0,58,3,1
50,1,1,0,1,0,3,0,9,0,0
32,2,1,0,0,0,5,0,18,1,0
118,6,1,0,0,4,6,0,5,2,1
39,1,1,0,0,1,2,0,13,0,0
53,3,1,0,1,0,1,0,8,0,0
55,1,1,0,0,0,2,0,20,0,0
85,4,0,0,1,3,5,0,47,1,1
49,2,1,0,0,0,1,0,4,1,0
27,2,1,0,0,0,5,0,2,1,0
15,3,1,0,1,1,3,0,17,1,0
96,6,0,1,2,1,4,0,32,4,1
30,2,1,0,0,0,2,0,14,0,0
105,5,1,0,0,3,8,0,23,1,1
140,6,0,0,0,3,9,0,47,2,1
114,4,1,1,2,3,5,0,20,1,1
90,3,1,1,1,4,5,0,23,2,1
47,2,1,0,0,0,4,0,20,0,0
35,2,1,0,0,0,4,0,0,0,0
103,6,1,0,1,4,6,0,32,1,1
145,6,0,1,3,2,6,0,45,4,1
42,1,1,0,1,0,2,0,17,1,0
141,4,1,1,2,2,6,0,47,1,1
34,1,1,0,0,0,1,0,10,0,0
27,1,1,0,0,1,5,0,4,0,0
21,1,1,0,1,0,2,0,24,1,0
73,3,0,0,2,2,2,0,47,3,1
93,5,0,0,1,2,3,1,63,1,1
102,3,0,0,3,1,10,0,31,3,1
98,4,1,0,3,1,6,0,33,1,1
67,4,0,0,2,3,3,0,44,4,1
47,2,1,0,0,1,1,0,20,0,0
67,3,0,0,2,1,8,0,75,3,1
58,2,1,0,0,0,2,0,18,1,0
15,1,1,0,0,1,6,0,16,1,0
44,2,1,0,1,0,4,0,5,1,0
34,1,1,0,0,0,3,0,12,1,0
94,3,0,1,3,2,6,0,50,3,1
97,5,0,1,1,2,8,0,5,2,1
118,3,0,0,0,0,3,0,53,3,1
43,2,1,0,0,2,2,0,16,1,0
103,3,0,0,2,1,5,0,70,3,1
21,2,1,0,0,1,0,0,20,0,0
22,1,1,0,0,1,2,0,3,0,0
54,2,0,0,0,0,2,0,22,0,0
36,1,0,0,0,0,0,0,20,1,0
35,2,1,0,0,1,3,0,16,0,0
78,3,1,0,2,0,7,0,35,1,1
46,2,1,0,1,1,1,0,7,1,0
118,4,1,0,2,1,2,0,77,2,1
79,5,0,0,2,2,7,0,49,4,1
50,3,1,0,0,2,0,0,12,1,0
32,3,1,0,0,1,2,0,11,1,0
60,4,0,1,0,1,4,0,18,2,1
98,3,1,0,0,3,3,0,95,3,1
133,3,1,0,3,1,4,0,61,2,1
123,5,0,0,3,3,3,0,46,2,1
26,1,1,0,0,1,3,0,9,0,0
36,3,1,0,0,0,3,0,6,0,0
91,6,0,0,1,2,7,0,64,4,1
106,5,1,0,0,1,3,0,89,4,1
26,1,1,0,1,1,3,0,27,0,0
37,2,1,0,0,0,3,0,15,0,0
63,4,0,1,1,2,6,0,49,4,1
65,2,0,0,1,0,1,0,14,1,0
105,3,0,0,1,2,3,0,5,2,1
43,3,1,0,0,0,3,0,26,0,0
37,2,1,0,0,0,2,0,8,0,0
43,3,0,0,0,1,3,0,0,0,0
37,1,1,0,0,0,4,0,27,0,0
41,2,1,0,0,2,5,0,21,1,0
113,5,0,0,1,0,1,0,42,3,1
40,1,0,0,0,1,1,0,25,0,0
54,2,1,0,0,0,2,0,23,0,0
79,3,0,1,0,3,3,0,56,1,1
26,2,1,0,0,0,0,0,9,0,0
18,1,1,0,0,1,1,0,29,0,0
45,2,1,0,0,0,3,0,24,0,0
117,6,1,1,2,3,5,0,53,3,1
56,6,0,0,0,0,3,0,63,3,1
111,3,0,1,3,3,4,0,44,3,1
61,3,1,0,0,0,6,0,5,1,0
28,1,1,0,0,0,2,0,33,1,0
16,2,1,0,0,1,1,0,0,0,0
58,4,0,0,1,1,10,1,30,2,1
67,3,0,0,2,1,6,0,53,3,1
21,2,1,0,0,0,3,0,16,1,0
27,2,1,0,1,1,5,0,16,1,0
125,4,0,0,1,0,9,0,52,2,1
40,3,1,0,2,3,3,0,72,3,1
30,5,0,1,1,2,7,0,39,2,1
66,5,1,0,3,0,4,0,38,2,1
41,2,1,0,0,0,2,0,13,1,0
45,2,1,0,0,2,3,0,10,1,0
38,2,1,0,0,2,1,0,28,0,0
86,5,1,1,0,0,5,0,33,3,1
40,3,1,0,0,0,3,0,21,0,0
33,1,1,0,0,2,0,0,14,0,0
29,2,1,0,0,1,4,0,27,0,0
31,1,0,0,0,0,0,0,7,0,0
89,3,0,0,0,2,4,0,66,4,1
124,6,0,0,1,1,3,0,34,1,1
32,1,1,0,1,0,3,0,13,1,0
47,2,1,0,0,0,1,0,12,0,0
93,3,0,0,2,3,3,0,91,2,1
32,1,1,0,0,0,3,0,29,0,0
46,1,1,0,1,1,1,0,8,0,0
31,5,0,0,0,2,6,0,76,4,1
100,4,0,0,3,2,5,0,26,2,1
51,1,1,0,0,0,4,0,24,1,0
136,5,0,0,2,1,6,1,71,2,1
45,2,0,0,0,1,0,0,2,0,0
116,5,0,0,1,1,9,0,62,1,1
110,5,0,0,3,3,3,0,44,3,1
49,1,1,0,0,0,2,0,15,0,0
55,1,1,0,0,0,3,0,9,1,0
34,3,1,0,0,0,0,0,12,0,0
62,2,1,0,0,0,1,0,11,0,0
147,3,0,0,1,1,8,0,61,2,1
36,3,1,0,0,0,6,0,16,0,0
86,5,1,0,0,2,7,0,68,2,1
100,3,0,0,1,1,3,0,63,4,1
18,1,1,0,0,0,3,0,9,1,0
48,1,1,0,0,0,0,0,11,1,0
85,3,1,0,1,1,5,0,71,3,1
39,2,1,0,0,0,4,0,29,0,0
91,5,1,0,0,2,6,0,33,1,1
117,3,0,0,2,3,3,0,35,3,1
119,5,0,0,2,4,4,0,53,3,1
90,3,0,0,0,4,5,0,71,1,1
115,5,0,0,3,0,3,0,57,2,1
41,1,1,0,1,0,2,0,14,1,0
59,2,1,0,1,0,2,0,17,0,0
20,1,1,0,1,0,7,0,18,1,0
104,4,0,1,0,1,8,0,50,2,1
44,2,1,0,0,0,4,0,6,0,0
37,2,1,0,0,1,1,0,14,1,0
87,3,1,0,3,4,7,0,71,4,1
52,1,1,0,0,0,2,0,9,0,0
19,2,1,0,0,0,2,0,11,0,0
97,4,0,0,2,1,9,0,44,1,1
36,1,1,0,0,1,1,0,0,0,0
71,4,1,1,1,0,2,0,49,3,1
36,1,1,0,0,1,4,0,0,0,0
103,5,0,1,1,2,1,0,58,3,1
24,2,1,0,0,0,1,0,15,0,0
79,4,0,0,1,0,5,0,53,3,1
57,1,1,0,0,1,5,0,28,0,0
37,4,1,0,0,4,5,0,75,2,1
85,4,1,0,1,3,3,0,75,3,1
37,1,1,0,0,0,3,0,21,0,0
30,3,1,0,0,1,6,0,69,3,1
47,2,1,0,0,0,2,0,7,1,0
30,1,1,0,1,1,1,0,18,1,0
44,2,1,0,1,1,4,0,21,0,0
48,2,1,0,1,1,4,0,20,1,0
65,4,0,0,0,3,4,0,7,3,1
17,2,1,0,0,0,2,0,14,0,0
36,1,1,0,0,0,1,0,22,0,0
85,5,1,1,2,2,6,0,73,1,1
51,4,1,0,1,3,5,0,42,3,1
85,3,0,0,3,2,4,0,66,1,1
28,1,1,0,1,0,4,0,10,1,0
59,6,0,1,2,0,4,0,50,1,1
39,3,1,0,0,1,2,0,13,1,0
58,1,0,0,0,0,2,0,13,0,0
79,4,0,1,1,4,7,0,37,4,1
32,6,0,0,1,3,6,0,29,3,1
57,1,1,0,1,0,1,0,15,0,0
31,1,1,0,0,1,6,0,18,1,0
53,3,1,0,0,0,2,0,12,1,0
60,2,1,0,0,0,0,0,10,0,0
124,3,0,0,1,1,5,0,68,1,1
81,4,0,0,1,3,4,0,59,1,1
100,4,1,1,1,0,8,0,23,3,1
77,6,0,0,1,2,1,0,31,1,1
74,5,0,0,3,3,3,0,33,4,1
93,3,0,0,2,2,2,0,39,4,1
76,3,0,0,1,3,9,0,58,2,1
118,5,1,1,1,2,6,0,26,2,1
120,3,1,0,3,2,8,0,44,1,1
64,2,1,0,0,1,2,0,11,0,0
103,5,0,0,2,4,6,0,47,2,1
47,4,1,0,1,2,4,0,37,4,1
57,3,1,1,2,3,5,1,56,4,1
106,4,1,0,3,3,6,0,46,1,1
38,2,0,0,0,0,2,0,11,0,0
42,3,1,0,1,1,1,0,5,0,0
40,2,1,0,0,0,6,0,26,1,0
43,3,0,1,0,4,4,0,20,2,1
117,6,1,0,2,4,6,0,34,1,1
30,3,1,0,0,0,4,0,8,0,0
100,4,0,0,0,1,5,0,57,1,1
70,4,1,0,1,3,3,0,63,2,1
101,3,1,1,3,1,6,0,54,1,1
36,1,1,0,0,2,1,0,10,0,0
90,5,1,1,0,1,4,0,80,3,1
46,1,1,0,0,1,3,0,0,0,0
61,1,1,0,0,1,1,0,17,1,0
39,1,1,0,0,0,1,0,20,1,0
33,1,1,0,0,1,1,0,8,1,0
42,3,1,0,0,0,3,0,25,0,0
93,5,0,0,2,4,5,0,60,1,1
49,1,1,0,1,0,2,0,26,1,0
137,5,1,0,3,4,4,0,23,3,1
15,3,1,0,0,0,3,0,25,0,0
40,1,1,0,0,1,0,0,17,1,0
50,1,1,0,0,0,4,0,0,1,0
113,4,1,1,2,4,6,0,46,2,1
56,4,1,0,2,3,5,0,76,3,1
88,3,0,0,2,3,3,0,14,2,1
58,1,1,0,0,1,0,0,4,0,0
118,4,1,0,1,3,6,1,37,3,1
59,1,1,0,0,1,2,0,17,0,0
52,3,1,0,0,0,2,0,18,0,0
39,1,1,0,0,1,0,0,9,1,0
52,1,1,0,0,0,2,0,10,1,0
34,1,1,0,1,0,4,0,19,1,0
17,1,1,0,0,1,3,0,26,0,0
98,6,0,0,1,4,5,0,44,3,1
63,4,0,0,1,2,6,0,35,1,1
47,1,0,0,0,1,0,0,12,0,0
61,3,1,0,0,2,4,0,32,1,0
37,2,1,0,0,2,2,0,19,1,0
32,3,1,0,1,0,1,0,1,1,0
56,2,1,0,0,0,4,0,7,1,0
22,2,1,0,0,1,2,0,11,0,0
76,1,1,0,1,0,7,0,13,0,0
94,4,0,0,0,4,7,0,72,3,1
141,4,1,1,2,2,7,1,30,1,1
91,4,0,0,2,1,4,0,26,4,1
15,1,0,0,0,0,0,0,8,1,0
113,6,0,0,0,1,4,0,47,3,1
51,1,1,0,0,0,5,0,31,1,0
30,1,1,0,0,0,0,0,12,1,0
124,5,0,0,2,2,5,1,44,4,1
116,5,1,0,2,2,6,0,91,1,1
58,3,0,0,0,3,6,0,26,2,1
113,5,0,0,1,2,9,0,13,2,1
130,4,1,1,2,3,8,0,62,4,1
29,3,1,0,1,0,3,0,18,0,0
124,5,0,1,2,1,4,0,75,3,1
34,1,1,0,0,0,2,0,22,1,0
37,5,1,0,3,0,6,0,31,2,1
74,4,0,1,2,3,8,0,45,1,1
25,2,1,0,0,0,1,0,11,0,0
61,4,0,0,1,2,6,0,75,2,1
53,5,0,0,2,0,2,0,31,2,1
111,4,1,0,1,2,1,0,34,4,1
50,1,1,0,0,0,3,0,1,0,0
81,3,1,1,3,1,7,0,42,2,1
46,2,1,0,0,0,0,0,9,0,0
83,5,0,1,3,4,7,0,60,3,1
123,5,0,0,2,3,5,0,65,2,1
41,6,1,0,1,1,6,1,26,1,1
84,4,1,0,0,0,8,0,15,1,1
30,5,0,1,3,3,2,0,26,1,1
62,3,0,0,2,0,1,0,65,3,1
34,2,1,0,0,1,4,0,19,0,0
105,6,0,0,1,0,3,0,45,2,1
47,1,1,0,0,1,2,0,15,0,0
41,3,1,0,3,3,8,1,5,3,1
42,2,1,0,0,0,3,0,8,1,0
39,1,1,0,0,2,2,0,21,1,0
31,3,1,0,0,0,1,0,33,0,0
99,4,1,0,3,1,2,0,36,4,1
91,5,1,0,1,3,4,0,39,3,1
108,4,0,1,2,2,1,0,29,1,1
50,5,0,0,1,2,9,0,37,2,1
138,5,0,0,3,4,8,0,56,4,1
125,4,0,0,0,2,3,0,52,3,1
96,4,0,0,1,3,5,0,54,1,1
38,2,1,0,0,2,3,0,15,1,0
30,1,1,0,1,0,1,0,15,0,0
106,6,1,0,3,4,4,1,47,2,1
75,5,1,0,2,4,6,0,51,3,1
53,2,0,0,0,0,2,0,26,0,0
75,5,1,0,3,3,4,0,93,3,1
71,4,0,0,2,4,2,0,51,3,1
30,5,0,0,0,2,2,0,43,3,1
116,5,0,1,0,3,5,0,24,3,1
95,4,0,0,1,3,5,1,60,3,1
46,1,1,0,1,0,2,0,0,0,0
44,3,1,0,0,0,0,0,26,1,0
115,5,0,1,1,2,5,0,40,1,1
43,2,1,0,1,0,2,0,15,0,0
138,4,1,0,2,1,9,1,5,4,1
67,6,1,1,1,3,5,0,44,2,1
72,4,0,0,1,1,6,0,48,2,1
39,2,1,0,0,0,3,0,14,1,0
52,6,1,1,1,2,14,0,43,1,1
31,1,1,0,0,0,1,0,7,1,0
76,4,0,0,0,4,5,0,60,4,1
16,1,1,0,0,0,3,0,8,0,0
153,3,1,0,3,0,3,0,25,2,1
118,6,1,0,2,1,5,1,79,2,1
44,3,1,0,0,0,3,0,26,0,0
34,3,1,0,0,0,3,0,19,1,0
92,3,1,0,2,1,7,0,56,3,1
135,5,1,0,1,4,11,0,65,1,1
41,1,1,0,0,0,0,0,11,0,0
32,1,1,0,1,1,1,0,10,0,0
131,3,0,0,0,1,1,0,69,2,1
92,4,1,1,3,2,5,0,15,3,1
45,3,1,0,0,1,2,0,5,1,0
105,5,0,0,1,2,5,0,49,1,1
33,1,0,0,0,1,3,0,5,0,0
34,1,1,0,0,0,2,0,11,0,0
33,1,1,0,0,0,4,0,12,1,0
33,3,1,0,0,2,0,0,0,0,0
91,6,0,0,0,2,7,0,20,2,1
32,1,1,0,1,1,3,0,5,0,0
78,3,1,0,0,4,8,0,28,1,1
162,5,1,0,1,2,4,1,67,3,1
65,5,0,1,1,1,5,0,36,2,1
59,2,1,0,0,2,2,0,9,1,0
87,6,0,0,0,1,5,0,28,4,1
59,3,1,0,3,1,3,0,26,2,1
73,5,1,0,1,3,4,0,47,2,1
32,1,1,0,0,0,0,0,22,1,0
97,4,0,0,1,2,5,1,50,2,1
15,3,1,0,0,0,1,0,21,1,0
31,2,1,0,0,1,0,0,15,0,0
127,4,0,0,2,1,8,0,58,4,1
41,3,1,0,0,0,5,0,15,0,0
49,1,1,0,0,1,5,0,19,0,0
42,3,1,0,0,0,3,0,23,0,0
43,2,1,0,0,1,1,0,19,0,0
41,1,1,0,0,0,2,0,8,1,0
42,2,1,0,0,2,0,0,21,0,0
83,4,0,0,3,1,5,1,28,1,1
36,2,1,0,0,1,2,0,25,1,0
145,3,0,0,2,4,1,0,32,2,1
91,4,1,0,0,1,3,0,30,2,1
143,4,0,1,1,2,4,0,36,2,1
34,1,1,0,0,0,4,0,19,1,0
45,2,1,0,0,1,1,0,17,1,0
41,2,1,0,1,0,2,0,8,1,0
45,2,1,0,0,0,0,0,10,1,0
41,1,1,0,0,2,0,0,24,0,0
